punto_index,x_original,y_original,x_robot,y_robot,theta1_rad,theta2_rad,theta1_deg,theta2_deg,alcanzable
366,3.06,6.77,18.06,6.77,-0.31,1.64,-17.81,94.2,true
367,3.02,6.75,18.02,6.75,-0.31,1.65,-17.92,94.44,true
368,2.99,6.73,17.99,6.73,-0.31,1.65,-18.02,94.67,true
369,2.95,6.7,17.95,6.7,-0.32,1.66,-18.12,94.9,true
370,2.92,6.68,17.92,6.68,-0.32,1.66,-18.22,95.12,true
371,2.88,6.66,17.88,6.66,-0.32,1.66,-18.32,95.35,true
372,2.85,6.64,17.85,6.64,-0.32,1.67,-18.42,95.56,true
373,2.82,6.63,17.82,6.63,-0.32,1.67,-18.51,95.77,true
374,2.79,6.61,17.79,6.61,-0.32,1.68,-18.6,95.98,true
375,2.75,6.59,17.75,6.59,-0.33,1.68,-18.69,96.19,true
376,2.72,6.57,17.72,6.57,-0.33,1.68,-18.77,96.39,true
377,2.69,6.56,17.69,6.56,-0.33,1.69,-18.85,96.58,true
378,2.66,6.54,17.66,6.54,-0.33,1.69,-18.93,96.78,true
379,2.63,6.53,17.63,6.53,-0.33,1.69,-19.0,96.96,true
380,2.6,6.51,17.6,6.51,-0.33,1.7,-19.08,97.15,true
381,2.57,6.5,17.57,6.5,-0.33,1.7,-19.14,97.33,true
382,2.54,6.49,17.54,6.49,-0.34,1.7,-19.21,97.5,true
383,2.52,6.47,17.52,6.47,-0.34,1.7,-19.27,97.67,true
384,2.49,6.46,17.49,6.46,-0.34,1.71,-19.33,97.84,true
385,2.46,6.45,17.46,6.45,-0.34,1.71,-19.38,98.0,true
386,2.44,6.45,17.44,6.45,-0.34,1.71,-19.43,98.15,true
387,2.41,6.44,17.41,6.44,-0.34,1.72,-19.48,98.31,true
388,2.38,6.43,17.38,6.43,-0.34,1.72,-19.52,98.46,true
389,2.36,6.42,17.36,6.42,-0.34,1.72,-19.56,98.6,true
390,2.33,6.42,17.33,6.42,-0.34,1.72,-19.6,98.74,true
391,2.31,6.41,17.31,6.41,-0.34,1.73,-19.63,98.87,true
392,2.29,6.41,17.29,6.41,-0.34,1.73,-19.66,99.01,true
393,2.26,6.41,17.26,6.41,-0.34,1.73,-19.68,99.13,true
394,2.24,6.41,17.24,6.41,-0.34,1.73,-19.7,99.26,true
395,2.22,6.41,17.22,6.41,-0.34,1.73,-19.72,99.37,true
396,2.19,6.41,17.19,6.41,-0.34,1.74,-19.73,99.49,true
397,2.17,6.41,17.17,6.41,-0.34,1.74,-19.73,99.6,true
398,2.15,6.41,17.15,6.41,-0.34,1.74,-19.74,99.7,true
399,2.13,6.42,17.13,6.42,-0.34,1.74,-19.74,99.81,true
400,2.11,6.42,17.11,6.42,-0.34,1.74,-19.73,99.9,true
401,2.09,6.43,17.09,6.43,-0.34,1.75,-19.72,100.0,true
402,2.07,6.43,17.07,6.43,-0.34,1.75,-19.71,100.09,true
403,2.05,6.44,17.05,6.44,-0.34,1.75,-19.69,100.17,true
404,2.03,6.45,17.03,6.45,-0.34,1.75,-19.67,100.26,true
405,2.01,6.46,17.01,6.46,-0.34,1.75,-19.65,100.33,true
406,1.99,6.47,16.99,6.47,-0.34,1.75,-19.62,100.41,true
407,1.97,6.49,16.97,6.49,-0.34,1.75,-19.58,100.48,true
408,1.96,6.5,16.96,6.5,-0.34,1.75,-19.54,100.55,true
409,1.94,6.51,16.94,6.51,-0.34,1.76,-19.5,100.61,true
410,1.92,6.53,16.92,6.53,-0.34,1.76,-19.46,100.67,true
411,1.9,6.55,16.9,6.55,-0.34,1.76,-19.4,100.73,true
412,1.88,6.56,16.88,6.56,-0.34,1.76,-19.35,100.78,true
413,1.87,6.58,16.87,6.58,-0.34,1.76,-19.29,100.83,true
414,1.85,6.6,16.85,6.6,-0.34,1.76,-19.23,100.87,true
415,1.83,6.62,16.83,6.62,-0.33,1.76,-19.16,100.92,true
416,1.82,6.65,16.82,6.65,-0.33,1.76,-19.09,100.96,true
417,1.8,6.67,16.8,6.67,-0.33,1.76,-19.02,100.99,true
418,1.79,6.69,16.79,6.69,-0.33,1.76,-18.94,101.03,true
419,1.77,6.72,16.77,6.72,-0.33,1.76,-18.86,101.06,true
420,1.75,6.74,16.75,6.74,-0.33,1.76,-18.77,101.09,true
421,1.74,6.77,16.74,6.77,-0.33,1.76,-18.68,101.11,true
422,1.72,6.8,16.72,6.8,-0.32,1.77,-18.59,101.13,true
423,1.71,6.83,16.71,6.83,-0.32,1.77,-18.5,101.15,true
424,1.69,6.86,16.69,6.86,-0.32,1.77,-18.4,101.17,true
425,1.68,6.89,16.68,6.89,-0.32,1.77,-18.29,101.19,true
426,1.66,6.92,16.66,6.92,-0.32,1.77,-18.19,101.2,true
427,1.65,6.95,16.65,6.95,-0.32,1.77,-18.08,101.21,true
428,1.63,6.98,16.63,6.98,-0.31,1.77,-17.96,101.22,true
429,1.61,7.02,16.61,7.02,-0.31,1.77,-17.85,101.22,true
430,1.6,7.05,16.6,7.05,-0.31,1.77,-17.73,101.23,true
431,1.58,7.09,16.58,7.09,-0.31,1.77,-17.61,101.23,true
432,1.57,7.12,16.57,7.12,-0.31,1.77,-17.48,101.23,true
433,1.55,7.16,16.55,7.16,-0.3,1.77,-17.35,101.22,true
434,1.54,7.2,16.54,7.2,-0.3,1.77,-17.22,101.22,true
435,1.52,7.23,16.52,7.23,-0.3,1.77,-17.09,101.22,true
436,1.51,7.27,16.51,7.27,-0.3,1.77,-16.96,101.21,true
437,1.49,7.31,16.49,7.31,-0.29,1.77,-16.82,101.2,true
438,1.47,7.35,16.47,7.35,-0.29,1.77,-16.68,101.19,true
439,1.46,7.39,16.46,7.39,-0.29,1.77,-16.54,101.18,true
440,1.44,7.43,16.44,7.43,-0.29,1.77,-16.39,101.17,true
441,1.43,7.48,16.43,7.48,-0.28,1.77,-16.25,101.16,true
442,1.41,7.52,16.41,7.52,-0.28,1.77,-16.1,101.14,true
443,1.39,7.56,16.39,7.56,-0.28,1.76,-15.95,101.13,true
444,1.38,7.6,16.38,7.6,-0.28,1.76,-15.8,101.11,true
445,1.36,7.65,16.36,7.65,-0.27,1.76,-15.65,101.09,true
446,1.34,7.69,16.34,7.69,-0.27,1.76,-15.49,101.08,true
447,1.32,7.73,16.32,7.73,-0.27,1.76,-15.34,101.06,true
448,1.31,7.78,16.31,7.78,-0.26,1.76,-15.18,101.04,true
449,1.29,7.82,16.29,7.82,-0.26,1.76,-15.02,101.02,true
450,1.27,7.87,16.27,7.87,-0.26,1.76,-14.86,101.01,true
451,1.25,7.91,16.25,7.91,-0.26,1.76,-14.7,100.99,true
452,1.23,7.96,16.23,7.96,-0.25,1.76,-14.54,100.97,true
453,1.22,8.0,16.22,8.0,-0.25,1.76,-14.38,100.95,true
454,1.2,8.05,16.2,8.05,-0.25,1.76,-14.22,100.93,true
455,1.18,8.1,16.18,8.1,-0.25,1.76,-14.06,100.92,true
456,1.16,8.14,16.16,8.14,-0.24,1.76,-13.89,100.9,true
457,1.14,8.19,16.14,8.19,-0.24,1.76,-13.73,100.88,true
458,1.12,8.23,16.12,8.23,-0.24,1.76,-13.57,100.87,true
459,1.1,8.28,16.1,8.28,-0.23,1.76,-13.41,100.85,true
460,1.08,8.32,16.08,8.32,-0.23,1.76,-13.24,100.84,true
461,1.06,8.37,16.06,8.37,-0.23,1.76,-13.08,100.82,true
462,1.04,8.41,16.04,8.41,-0.23,1.76,-12.92,100.81,true
463,1.01,8.46,16.01,8.46,-0.22,1.76,-12.76,100.8,true
464,0.99,8.5,15.99,8.5,-0.22,1.76,-12.6,100.79,true
465,0.97,8.55,15.97,8.55,-0.22,1.76,-12.44,100.78,true
466,0.95,8.59,15.95,8.59,-0.21,1.76,-12.28,100.77,true
467,0.93,8.64,15.93,8.64,-0.21,1.76,-12.12,100.77,true
468,0.9,8.68,15.9,8.68,-0.21,1.76,-11.96,100.76,true
469,0.88,8.73,15.88,8.73,-0.21,1.76,-11.8,100.76,true
470,0.86,8.77,15.86,8.77,-0.2,1.76,-11.65,100.76,true
471,0.83,8.81,15.83,8.81,-0.2,1.76,-11.49,100.76,true
472,0.81,8.85,15.81,8.85,-0.2,1.76,-11.34,100.76,true
473,0.78,8.9,15.78,8.9,-0.2,1.76,-11.19,100.77,true
474,0.76,8.94,15.76,8.94,-0.19,1.76,-11.04,100.77,true
475,0.73,8.98,15.73,8.98,-0.19,1.76,-10.89,100.78,true
476,0.71,9.02,15.71,9.02,-0.19,1.76,-10.74,100.79,true
477,0.68,9.06,15.68,9.06,-0.18,1.76,-10.6,100.8,true
478,0.66,9.1,15.66,9.1,-0.18,1.76,-10.46,100.82,true
479,0.63,9.13,15.63,9.13,-0.18,1.76,-10.32,100.84,true
480,0.61,9.17,15.61,9.17,-0.18,1.76,-10.18,100.86,true
481,0.58,9.21,15.58,9.21,-0.18,1.76,-10.04,100.88,true
482,0.55,9.25,15.55,9.25,-0.17,1.76,-9.91,100.9,true
483,0.53,9.28,15.53,9.28,-0.17,1.76,-9.77,100.93,true
484,0.5,9.32,15.5,9.32,-0.17,1.76,-9.64,100.96,true
485,0.47,9.35,15.47,9.35,-0.17,1.76,-9.52,100.99,true
486,0.44,9.38,15.44,9.38,-0.16,1.76,-9.39,101.03,true
487,0.41,9.42,15.41,9.42,-0.16,1.76,-9.27,101.07,true
488,0.39,9.45,15.39,9.45,-0.16,1.76,-9.15,101.11,true
489,0.36,9.48,15.36,9.48,-0.16,1.77,-9.03,101.15,true
490,0.33,9.51,15.33,9.51,-0.16,1.77,-8.92,101.2,true
491,0.3,9.54,15.3,9.54,-0.15,1.77,-8.81,101.25,true
492,0.27,9.57,15.27,9.57,-0.15,1.77,-8.7,101.3,true
493,0.24,9.6,15.24,9.6,-0.15,1.77,-8.59,101.36,true
494,0.21,9.62,15.21,9.62,-0.15,1.77,-8.49,101.42,true
495,0.18,9.65,15.18,9.65,-0.15,1.77,-8.39,101.48,true
496,0.15,9.67,15.15,9.67,-0.14,1.77,-8.3,101.55,true
497,0.12,9.7,15.12,9.7,-0.14,1.77,-8.2,101.62,true
498,0.09,9.72,15.09,9.72,-0.14,1.77,-8.11,101.69,true
499,0.06,9.74,15.06,9.74,-0.14,1.78,-8.02,101.76,true
500,0.03,9.76,15.03,9.76,-0.14,1.78,-7.94,101.84,true
501,0.0,9.78,15.0,9.78,-0.14,1.78,-7.86,101.92,true
502,-0.03,9.8,14.97,9.8,-0.14,1.78,-7.78,102.0,true
503,-0.06,9.82,14.94,9.82,-0.13,1.78,-7.71,102.09,true
504,-0.09,9.84,14.91,9.84,-0.13,1.78,-7.64,102.18,true
505,-0.12,9.85,14.88,9.85,-0.13,1.79,-7.57,102.27,true
506,-0.16,9.87,14.84,9.87,-0.13,1.79,-7.5,102.37,true
507,-0.19,9.88,14.81,9.88,-0.13,1.79,-7.44,102.47,true
508,-0.22,9.89,14.78,9.89,-0.13,1.79,-7.38,102.57,true
509,-0.25,9.91,14.75,9.91,-0.13,1.79,-7.33,102.68,true
510,-0.28,9.92,14.72,9.92,-0.13,1.79,-7.28,102.78,true
511,-0.31,9.93,14.69,9.93,-0.13,1.8,-7.23,102.89,true
512,-0.34,9.94,14.66,9.94,-0.13,1.8,-7.18,103.01,true
513,-0.38,9.95,14.62,9.95,-0.12,1.8,-7.14,103.12,true
514,-0.41,9.95,14.59,9.95,-0.12,1.8,-7.1,103.24,true
515,-0.44,9.96,14.56,9.96,-0.12,1.8,-7.07,103.37,true
516,-0.47,9.96,14.53,9.96,-0.12,1.81,-7.03,103.49,true
517,-0.5,9.97,14.5,9.97,-0.12,1.81,-7.0,103.62,true
518,-0.53,9.97,14.47,9.97,-0.12,1.81,-6.98,103.75,true
519,-0.56,9.98,14.44,9.98,-0.12,1.81,-6.95,103.88,true
520,-0.6,9.98,14.4,9.98,-0.12,1.82,-6.93,104.02,true
521,-0.63,9.98,14.37,9.98,-0.12,1.82,-6.92,104.15,true
522,-0.66,9.98,14.34,9.98,-0.12,1.82,-6.9,104.29,true
523,-0.69,9.98,14.31,9.98,-0.12,1.82,-6.89,104.43,true
524,-0.72,9.97,14.28,9.97,-0.12,1.83,-6.89,104.58,true
525,-0.75,9.97,14.25,9.97,-0.12,1.83,-6.88,104.73,true
526,-0.78,9.97,14.22,9.97,-0.12,1.83,-6.88,104.87,true
527,-0.82,9.96,14.18,9.96,-0.12,1.83,-6.88,105.02,true
528,-0.85,9.96,14.15,9.96,-0.12,1.84,-6.88,105.18,true
529,-0.88,9.95,14.12,9.95,-0.12,1.84,-6.89,105.33,true
530,-0.91,9.94,14.09,9.94,-0.12,1.84,-6.9,105.49,true
531,-0.94,9.94,14.06,9.94,-0.12,1.84,-6.91,105.65,true
532,-0.97,9.93,14.03,9.93,-0.12,1.85,-6.92,105.81,true
533,-1.0,9.92,14.0,9.92,-0.12,1.85,-6.94,105.97,true
534,-1.03,9.91,13.97,9.91,-0.12,1.85,-6.96,106.13,true
535,-1.06,9.9,13.94,9.9,-0.12,1.86,-6.98,106.29,true
536,-1.09,9.89,13.91,9.89,-0.12,1.86,-7.0,106.46,true
537,-1.12,9.88,13.88,9.88,-0.12,1.86,-7.02,106.63,true
538,-1.15,9.86,13.85,9.86,-0.12,1.86,-7.05,106.79,true
539,-1.18,9.85,13.82,9.85,-0.12,1.87,-7.08,106.96,true
540,-1.21,9.84,13.79,9.84,-0.12,1.87,-7.11,107.13,true
541,-1.24,9.82,13.76,9.82,-0.12,1.87,-7.15,107.3,true
542,-1.27,9.81,13.73,9.81,-0.13,1.88,-7.18,107.48,true
543,-1.3,9.79,13.7,9.79,-0.13,1.88,-7.22,107.65,true
544,-1.33,9.78,13.67,9.78,-0.13,1.88,-7.26,107.82,true
545,-1.36,9.76,13.64,9.76,-0.13,1.88,-7.3,108.0,true
546,-1.39,9.74,13.61,9.74,-0.13,1.89,-7.34,108.17,true
547,-1.42,9.73,13.58,9.73,-0.13,1.89,-7.38,108.35,true
548,-1.44,9.71,13.56,9.71,-0.13,1.89,-7.43,108.52,true
549,-1.47,9.69,13.53,9.69,-0.13,1.9,-7.47,108.7,true
550,-1.5,9.67,13.5,9.67,-0.13,1.9,-7.52,108.88,true
551,-1.53,9.65,13.47,9.65,-0.13,1.9,-7.57,109.05,true
552,-1.56,9.63,13.44,9.63,-0.13,1.91,-7.62,109.23,true
553,-1.58,9.61,13.42,9.61,-0.13,1.91,-7.66,109.41,true
554,-1.61,9.6,13.39,9.6,-0.13,1.91,-7.72,109.58,true
555,-1.64,9.58,13.36,9.58,-0.14,1.92,-7.77,109.76,true
556,-1.67,9.56,13.33,9.56,-0.14,1.92,-7.82,109.94,true
557,-1.7,9.54,13.3,9.54,-0.14,1.92,-7.87,110.11,true
558,-1.72,9.52,13.28,9.52,-0.14,1.92,-7.92,110.29,true
559,-1.75,9.5,13.25,9.5,-0.14,1.93,-7.98,110.47,true
560,-1.78,9.48,13.22,9.48,-0.14,1.93,-8.03,110.64,true
561,-1.8,9.45,13.2,9.45,-0.14,1.93,-8.08,110.82,true
562,-1.83,9.43,13.17,9.43,-0.14,1.94,-8.14,110.99,true
563,-1.86,9.41,13.14,9.41,-0.14,1.94,-8.19,111.17,true
564,-1.88,9.39,13.12,9.39,-0.14,1.94,-8.25,111.34,true
565,-1.91,9.37,13.09,9.37,-0.14,1.95,-8.3,111.51,true
566,-1.94,9.35,13.06,9.35,-0.15,1.95,-8.35,111.68,true
567,-1.96,9.33,13.04,9.33,-0.15,1.95,-8.41,111.86,true
568,-1.99,9.31,13.01,9.31,-0.15,1.96,-8.46,112.03,true
569,-2.02,9.29,12.98,9.29,-0.15,1.96,-8.51,112.2,true
570,-2.04,9.27,12.96,9.27,-0.15,1.96,-8.56,112.37,true
571,-2.07,9.25,12.93,9.25,-0.15,1.96,-8.61,112.54,true
572,-2.09,9.23,12.91,9.23,-0.15,1.97,-8.66,112.7,true
573,-2.12,9.21,12.88,9.21,-0.15,1.97,-8.71,112.87,true
574,-2.15,9.19,12.85,9.19,-0.15,1.97,-8.76,113.04,true
575,-2.17,9.17,12.83,9.17,-0.15,1.98,-8.81,113.2,true
576,-2.2,9.15,12.8,9.15,-0.15,1.98,-8.86,113.37,true
577,-2.22,9.14,12.78,9.14,-0.16,1.98,-8.9,113.53,true
578,-2.25,9.12,12.75,9.12,-0.16,1.98,-8.94,113.69,true
579,-2.28,9.1,12.72,9.1,-0.16,1.99,-8.99,113.85,true
580,-2.3,9.08,12.7,9.08,-0.16,1.99,-9.03,114.01,true
581,-2.33,9.06,12.67,9.06,-0.16,1.99,-9.07,114.17,true
582,-2.35,9.05,12.65,9.05,-0.16,2.0,-9.11,114.33,true
583,-2.38,9.03,12.62,9.03,-0.16,2.0,-9.14,114.49,true
584,-2.4,9.01,12.6,9.01,-0.16,2.0,-9.18,114.65,true
585,-2.43,9.0,12.57,9.0,-0.16,2.0,-9.21,114.8,true
586,-2.46,8.98,12.54,8.98,-0.16,2.01,-9.25,114.95,true
587,-2.48,8.97,12.52,8.97,-0.16,2.01,-9.28,115.11,true
588,-2.51,8.95,12.49,8.95,-0.16,2.01,-9.3,115.26,true
589,-2.54,8.94,12.46,8.94,-0.16,2.01,-9.33,115.41,true
590,-2.56,8.92,12.44,8.92,-0.16,2.02,-9.36,115.56,true
591,-2.59,8.91,12.41,8.91,-0.16,2.02,-9.38,115.71,true
592,-2.61,8.9,12.39,8.9,-0.16,2.02,-9.4,115.86,true
593,-2.64,8.88,12.36,8.88,-0.16,2.02,-9.42,116.0,true
594,-2.67,8.87,12.33,8.87,-0.16,2.03,-9.44,116.15,true
595,-2.69,8.86,12.31,8.86,-0.16,2.03,-9.45,116.3,true
596,-2.72,8.85,12.28,8.85,-0.17,2.03,-9.46,116.44,true
597,-2.75,8.84,12.25,8.84,-0.17,2.03,-9.47,116.58,true
598,-2.78,8.82,12.22,8.82,-0.17,2.04,-9.48,116.72,true
599,-2.8,8.81,12.2,8.81,-0.17,2.04,-9.49,116.87,true
600,-2.83,8.81,12.17,8.81,-0.17,2.04,-9.49,117.01,true
601,-2.86,8.8,12.14,8.8,-0.17,2.04,-9.49,117.15,true
602,-2.89,8.79,12.11,8.79,-0.17,2.05,-9.49,117.28,true
603,-2.91,8.78,12.09,8.78,-0.17,2.05,-9.49,117.42,true
604,-2.94,8.77,12.06,8.77,-0.17,2.05,-9.49,117.56,true
605,-2.97,8.76,12.03,8.76,-0.17,2.05,-9.48,117.7,true
606,-3.0,8.76,12.0,8.76,-0.17,2.06,-9.47,117.83,true
607,-3.03,8.75,11.97,8.75,-0.17,2.06,-9.46,117.97,true
608,-3.06,8.74,11.94,8.74,-0.16,2.06,-9.44,118.1,true
609,-3.08,8.74,11.92,8.74,-0.16,2.06,-9.43,118.23,true
610,-3.11,8.73,11.89,8.73,-0.16,2.07,-9.41,118.37,true
611,-3.14,8.73,11.86,8.73,-0.16,2.07,-9.39,118.5,true
612,-3.17,8.72,11.83,8.72,-0.16,2.07,-9.37,118.63,true
613,-3.2,8.72,11.8,8.72,-0.16,2.07,-9.34,118.76,true
614,-3.23,8.72,11.77,8.72,-0.16,2.08,-9.32,118.89,true
615,-3.26,8.71,11.74,8.71,-0.16,2.08,-9.29,119.02,true
616,-3.29,8.71,11.71,8.71,-0.16,2.08,-9.26,119.15,true
617,-3.32,8.71,11.68,8.71,-0.16,2.08,-9.23,119.28,true
618,-3.35,8.71,11.65,8.71,-0.16,2.08,-9.19,119.41,true
619,-3.38,8.7,11.62,8.7,-0.16,2.09,-9.15,119.53,true
620,-3.41,8.7,11.59,8.7,-0.16,2.09,-9.12,119.66,true
621,-3.44,8.7,11.56,8.7,-0.16,2.09,-9.08,119.79,true
622,-3.48,8.7,11.52,8.7,-0.16,2.09,-9.03,119.92,true
623,-3.51,8.7,11.49,8.7,-0.16,2.1,-8.99,120.04,true
624,-3.54,8.7,11.46,8.7,-0.16,2.1,-8.95,120.17,true
625,-3.57,8.7,11.43,8.7,-0.16,2.1,-8.9,120.3,true
626,-3.6,8.7,11.4,8.7,-0.15,2.1,-8.85,120.42,true
627,-3.63,8.7,11.37,8.7,-0.15,2.1,-8.8,120.55,true
628,-3.67,8.7,11.33,8.7,-0.15,2.11,-8.75,120.68,true
629,-3.7,8.7,11.3,8.7,-0.15,2.11,-8.7,120.8,true
630,-3.73,8.7,11.27,8.7,-0.15,2.11,-8.64,120.93,true
631,-3.76,8.7,11.24,8.7,-0.15,2.11,-8.59,121.05,true
632,-3.8,8.7,11.2,8.7,-0.15,2.11,-8.53,121.18,true
633,-3.83,8.7,11.17,8.7,-0.15,2.12,-8.48,121.31,true
634,-3.86,8.7,11.14,8.7,-0.15,2.12,-8.42,121.43,true
635,-3.9,8.7,11.1,8.7,-0.15,2.12,-8.36,121.56,true
636,-3.93,8.7,11.07,8.7,-0.14,2.12,-8.3,121.68,true
637,-3.96,8.71,11.04,8.71,-0.14,2.13,-8.24,121.81,true
638,-4.0,8.71,11.0,8.71,-0.14,2.13,-8.18,121.94,true
639,-4.03,8.71,10.97,8.71,-0.14,2.13,-8.12,122.06,true
640,-4.06,8.71,10.94,8.71,-0.14,2.13,-8.06,122.19,true
641,-4.1,8.71,10.9,8.71,-0.14,2.13,-8.0,122.32,true
642,-4.13,8.71,10.87,8.71,-0.14,2.14,-7.93,122.45,true
643,-4.17,8.71,10.83,8.71,-0.14,2.14,-7.87,122.58,true
644,-4.2,8.71,10.8,8.71,-0.14,2.14,-7.81,122.7,true
645,-4.23,8.71,10.77,8.71,-0.14,2.14,-7.75,122.83,true
646,-4.27,8.71,10.73,8.71,-0.13,2.15,-7.69,122.96,true
647,-4.3,8.71,10.7,8.71,-0.13,2.15,-7.62,123.09,true
648,-4.34,8.71,10.66,8.71,-0.13,2.15,-7.56,123.22,true
649,-4.37,8.71,10.63,8.71,-0.13,2.15,-7.5,123.35,true
650,-4.4,8.71,10.6,8.71,-0.13,2.16,-7.44,123.48,true
651,-4.44,8.71,10.56,8.71,-0.13,2.16,-7.38,123.62,true
652,-4.47,8.71,10.53,8.71,-0.13,2.16,-7.32,123.75,true
653,-4.5,8.7,10.5,8.7,-0.13,2.16,-7.27,123.88,true
654,-4.54,8.7,10.46,8.7,-0.13,2.16,-7.21,124.01,true
655,-4.57,8.7,10.43,8.7,-0.12,2.17,-7.16,124.15,true
656,-4.6,8.7,10.4,8.7,-0.12,2.17,-7.1,124.28,true
657,-4.64,8.69,10.36,8.69,-0.12,2.17,-7.05,124.42,true
658,-4.67,8.69,10.33,8.69,-0.12,2.17,-7.0,124.56,true
659,-4.7,8.69,10.3,8.69,-0.12,2.18,-6.95,124.69,true
660,-4.74,8.68,10.26,8.68,-0.12,2.18,-6.9,124.83,true
661,-4.77,8.67,10.23,8.67,-0.12,2.18,-6.85,124.97,true
662,-4.8,8.67,10.2,8.67,-0.12,2.18,-6.81,125.11,true
663,-4.83,8.66,10.17,8.66,-0.12,2.19,-6.77,125.25,true
664,-4.87,8.66,10.13,8.66,-0.12,2.19,-6.73,125.39,true
665,-4.9,8.65,10.1,8.65,-0.12,2.19,-6.69,125.53,true
666,-4.93,8.64,10.07,8.64,-0.12,2.19,-6.65,125.67,true
667,-4.96,8.63,10.04,8.63,-0.12,2.2,-6.62,125.81,true
668,-4.99,8.62,10.01,8.62,-0.11,2.2,-6.59,125.95,true
669,-5.02,8.61,9.98,8.61,-0.11,2.2,-6.56,126.1,true
670,-5.05,8.6,9.95,8.6,-0.11,2.2,-6.53,126.24,true
671,-5.08,8.59,9.92,8.59,-0.11,2.21,-6.51,126.39,true
672,-5.11,8.58,9.89,8.58,-0.11,2.21,-6.49,126.53,true
673,-5.14,8.57,9.86,8.57,-0.11,2.21,-6.47,126.68,true
674,-5.17,8.55,9.83,8.55,-0.11,2.21,-6.46,126.83,true
675,-5.2,8.54,9.8,8.54,-0.11,2.22,-6.45,126.97,true
676,-5.22,8.52,9.78,8.52,-0.11,2.22,-6.44,127.12,true
677,-5.25,8.51,9.75,8.51,-0.11,2.22,-6.44,127.27,true
678,-5.28,8.49,9.72,8.49,-0.11,2.22,-6.44,127.42,true
679,-5.31,8.48,9.69,8.48,-0.11,2.23,-6.44,127.57,true
680,-5.33,8.46,9.67,8.46,-0.11,2.23,-6.45,127.72,true
681,-5.36,8.44,9.64,8.44,-0.11,2.23,-6.46,127.88,true
682,-5.38,8.42,9.62,8.42,-0.11,2.23,-6.47,128.03,true
683,-5.41,8.4,9.59,8.4,-0.11,2.24,-6.49,128.18,true
684,-5.43,8.38,9.57,8.38,-0.11,2.24,-6.51,128.33,true
685,-5.45,8.36,9.55,8.36,-0.11,2.24,-6.54,128.49,true
686,-5.48,8.34,9.52,8.34,-0.11,2.25,-6.57,128.64,true
687,-5.5,8.32,9.5,8.32,-0.12,2.25,-6.6,128.8,true
688,-5.52,8.29,9.48,8.29,-0.12,2.25,-6.64,128.95,true
689,-5.54,8.27,9.46,8.27,-0.12,2.25,-6.68,129.11,true
690,-5.56,8.24,9.44,8.24,-0.12,2.26,-6.73,129.26,true
691,-5.58,8.22,9.42,8.22,-0.12,2.26,-6.78,129.42,true
692,-5.6,8.19,9.4,8.19,-0.12,2.26,-6.84,129.57,true
693,-5.62,8.16,9.38,8.16,-0.12,2.26,-6.9,129.73,true
694,-5.64,8.13,9.36,8.13,-0.12,2.27,-6.96,129.89,true
695,-5.66,8.1,9.34,8.1,-0.12,2.27,-7.03,130.04,true
696,-5.67,8.07,9.33,8.07,-0.12,2.27,-7.11,130.2,true
697,-5.69,8.04,9.31,8.04,-0.13,2.28,-7.18,130.35,true
698,-5.71,8.01,9.29,8.01,-0.13,2.28,-7.27,130.51,true
699,-5.72,7.98,9.28,7.98,-0.13,2.28,-7.35,130.67,true
700,-5.74,7.95,9.26,7.95,-0.13,2.28,-7.45,130.82,true
701,-5.75,7.91,9.25,7.91,-0.13,2.29,-7.54,130.98,true
702,-5.76,7.88,9.24,7.88,-0.13,2.29,-7.65,131.13,true
703,-5.78,7.84,9.22,7.84,-0.14,2.29,-7.75,131.28,true
704,-5.79,7.81,9.21,7.81,-0.14,2.29,-7.86,131.44,true
705,-5.8,7.77,9.2,7.77,-0.14,2.3,-7.98,131.59,true
706,-5.81,7.74,9.19,7.74,-0.14,2.3,-8.1,131.74,true
707,-5.82,7.7,9.18,7.7,-0.14,2.3,-8.22,131.9,true
708,-5.83,7.66,9.17,7.66,-0.15,2.3,-8.35,132.05,true
709,-5.84,7.62,9.16,7.62,-0.15,2.31,-8.49,132.2,true
710,-5.84,7.58,9.16,7.58,-0.15,2.31,-8.63,132.35,true
711,-5.85,7.54,9.15,7.54,-0.15,2.31,-8.77,132.49,true
712,-5.86,7.5,9.14,7.5,-0.16,2.32,-8.92,132.64,true
713,-5.86,7.46,9.14,7.46,-0.16,2.32,-9.07,132.79,true
714,-5.87,7.42,9.13,7.42,-0.16,2.32,-9.23,132.93,true
715,-5.87,7.37,9.13,7.37,-0.16,2.32,-9.39,133.08,true
716,-5.87,7.33,9.13,7.33,-0.17,2.33,-9.55,133.22,true
717,-5.88,7.29,9.12,7.29,-0.17,2.33,-9.72,133.36,true
718,-5.88,7.24,9.12,7.24,-0.17,2.33,-9.9,133.5,true
719,-5.88,7.2,9.12,7.2,-0.18,2.33,-10.08,133.64,true
720,-5.88,7.16,9.12,7.16,-0.18,2.33,-10.26,133.77,true
721,-5.88,7.11,9.12,7.11,-0.18,2.34,-10.45,133.91,true
722,-5.88,7.06,9.12,7.06,-0.19,2.34,-10.64,134.04,true
723,-5.88,7.02,9.12,7.02,-0.19,2.34,-10.83,134.17,true
724,-5.88,6.97,9.12,6.97,-0.19,2.34,-11.03,134.3,true
725,-5.88,6.93,9.12,6.93,-0.2,2.35,-11.23,134.43,true
726,-5.87,6.88,9.13,6.88,-0.2,2.35,-11.44,134.56,true
